id,Date,Product,Category,Region,Units_Sold,Revenue,Cost,Logistics_Cost,Overhead_Cost,Total_Cost,Net_Profit,Loss,Profit_Status,Loss_Percentage,Loss_Reason,Customer_Age,Gender,Season,Festival,Trend
2733,2025-01-31,Fan,Electronics,West,197,199364,170116,8493,13701,192310,7054,0,Profit,0,None,45,Male,Winter,None,Seasonal Spike
2734,2025-06-15,Watch,Fashion,East,122,146766,132649,11962,7338,151949,0,5183,Loss,3.41,Low Sales,20,Female,Monsoon,Holi,High Demand
2735,2025-01-22,Jeans,Electronics,East,93,421383,413568,13982,9101,436651,0,15268,Loss,3.5,High Logistics,22,Female,Summer,None,Seasonal Spike
2736,2025-05-16,Gift Hampers,Electronics,East,77,115885,68851,17302,9983,96136,19749,0,Profit,0,None,38,Female,Summer,Ugadi,Stable
2737,2025-05-01,Smartphone,Electronics,North,161,788417,762420,7694,10719,780833,7584,0,Profit,0,None,46,Female,Winter,Holi,Low Demand
2738,2025-07-13,Saree,Food,East,87,143376,100169,16540,13761,130470,12906,0,Profit,0,None,18,Female,Monsoon,Diwali,Stable
2739,2025-04-28,TV,Fashion,East,114,203832,176537,11105,6676,194318,9514,0,Profit,0,None,36,Male,Summer,Valentine,High Demand
2740,2025-04-30,Refrigerator,Electronics,North,198,736560,692289,15195,11655,719139,17421,0,Profit,0,None,47,Female,Monsoon,None,Seasonal Spike
2741,2025-07-10,Backpack,Accessories,West,157,680909,677882,18602,14249,710733,0,29824,Loss,4.2,Low Sales,24,Female,Spring,Ugadi,Stable
2742,2025-01-24,T-Shirt,Accessories,South,54,167724,122607,12922,11676,147205,20519,0,Profit,0,None,26,Female,Winter,Holi,High Demand
2743,2025-04-21,Watch,Accessories,East,80,181600,196071,10258,13677,220006,0,38406,Loss,17.46,Low Sales,18,Male,Winter,Valentine,Stable
2744,2025-06-16,Sweets,Gift,West,176,730400,725880,14010,12963,752853,0,22453,Loss,2.98,Off Season,24,Male,Winter,Ugadi,High Demand
2745,2025-01-07,Gift Hampers,Fashion,East,189,792855,804003,15258,12857,832118,0,39263,Loss,4.72,High Logistics,18,Female,Monsoon,Valentine,High Demand
2746,2025-05-05,Mobile,Accessories,West,134,486956,483593,7783,12668,504044,0,17088,Loss,3.39,Off Season,46,Male,Spring,Ugadi,Low Demand
2747,2025-06-23,Sweets,Electronics,North,136,498984,480241,14346,10566,505153,0,6169,Loss,1.22,Off Season,50,Male,Winter,Ugadi,Low Demand
2748,2025-03-02,Cooler,Gift,North,91,288743,280768,18018,7399,306185,0,17442,Loss,5.7,High Logistics,31,Female,Summer,None,High Demand
2749,2025-07-01,Headphones,Gift,West,175,412475,423364,6792,8641,438797,0,26322,Loss,6.0,High Logistics,25,Female,Winter,None,Low Demand
2750,2025-01-18,Smartphone,Food,South,165,782595,822572,8087,7901,838560,0,55965,Loss,6.67,Off Season,45,Female,Spring,Holi,High Demand
2751,2025-06-30,Backpack,Accessories,West,129,156348,158226,7605,8040,173871,0,17523,Loss,10.08,High Logistics,19,Male,Spring,Valentine,Low Demand
2752,2025-07-12,Headphones,Fashion,North,50,240150,286574,12081,6831,305486,0,65336,Loss,21.39,Off Season,30,Male,Spring,Valentine,High Demand
2753,2025-06-13,Cooler,Food,North,51,74766,69439,13537,8549,91525,0,16759,Loss,18.31,Low Sales,34,Female,Monsoon,Holi,Seasonal Spike
2754,2025-04-17,Umbrella,Gift,North,136,339320,357482,19062,14853,391397,0,52077,Loss,13.31,High Cost,19,Female,Winter,None,Low Demand
2755,2025-01-03,Raincoat,Accessories,East,50,228500,189829,6120,8024,203973,24527,0,Profit,0,None,32,Female,Spring,Holi,High Demand
2756,2025-01-30,Refrigerator,Food,West,158,530090,496714,15081,7565,519360,10730,0,Profit,0,None,42,Female,Monsoon,None,Stable
2757,2025-07-10,Cooler,Gift,West,197,904624,953384,13516,8897,975797,0,71173,Loss,7.29,Low Sales,47,Male,Monsoon,Holi,Stable
2758,2025-05-06,Headphones,Food,West,68,113424,130790,14292,13576,158658,0,45234,Loss,28.51,High Cost,21,Female,Winter,Ugadi,Seasonal Spike
2759,2025-02-24,Watch,Fashion,South,73,79497,122491,6708,13115,142314,0,62817,Loss,44.14,High Cost,32,Male,Summer,Valentine,High Demand
2760,2025-02-04,Shoes,Food,West,59,266562,251086,6035,14022,271143,0,4581,Loss,1.69,High Cost,24,Female,Summer,Valentine,Low Demand
2761,2025-06-08,TV,Accessories,North,39,158457,125750,9406,10485,145641,12816,0,Profit,0,None,21,Male,Spring,Ugadi,Stable
2762,2025-03-13,Refrigerator,Fashion,West,185,489510,503098,18981,10393,532472,0,42962,Loss,8.07,Low Sales,33,Female,Winter,None,Low Demand
2763,2025-07-18,Umbrella,Food,East,122,447008,453087,14600,10548,478235,0,31227,Loss,6.53,High Cost,25,Male,Summer,Ugadi,High Demand
2764,2025-07-18,Cooler,Fashion,South,26,126802,95564,14221,6716,116501,10301,0,Profit,0,None,28,Female,Winter,Holi,Stable
2765,2025-06-26,Refrigerator,Gift,East,162,432216,476818,15299,5422,497539,0,65323,Loss,13.13,High Cost,24,Female,Spring,Ugadi,Low Demand
2766,2025-05-12,Jeans,Food,South,106,249948,213668,18700,8348,240716,9232,0,Profit,0,None,33,Female,Winter,Holi,Seasonal Spike
2767,2025-07-13,Raincoat,Electronics,South,127,581152,561582,15282,5867,582731,0,1579,Loss,0.27,Off Season,41,Male,Summer,Valentine,High Demand
2768,2025-05-19,Jeans,Accessories,West,43,67897,77918,6530,13740,98188,0,30291,Loss,30.85,Off Season,43,Male,Spring,Ugadi,High Demand
2769,2025-01-17,Headphones,Electronics,East,20,43900,44839,15383,12995,73217,0,29317,Loss,40.04,Off Season,50,Male,Spring,Ugadi,Trending
2770,2025-06-16,Headphones,Food,South,33,111408,97709,13148,13204,124061,0,12653,Loss,10.2,High Logistics,24,Female,Monsoon,None,High Demand
2771,2025-05-19,Refrigerator,Accessories,South,134,553286,598128,17257,12334,627719,0,74433,Loss,11.86,Off Season,27,Female,Monsoon,Ugadi,Trending
2772,2025-04-06,T-Shirt,Food,West,86,199692,154031,10355,12392,176778,22914,0,Profit,0,None,41,Male,Monsoon,Diwali,Stable
2773,2025-05-09,Umbrella,Food,West,33,117183,118465,8550,12233,139248,0,22065,Loss,15.85,Low Sales,43,Female,Winter,None,Stable
2774,2025-04-09,Smartphone,Food,South,185,499500,453749,10478,5161,469388,30112,0,Profit,0,None,25,Female,Summer,Holi,Stable
2775,2025-05-19,Umbrella,Food,North,29,127339,124269,9278,10448,143995,0,16656,Loss,11.57,High Logistics,21,Male,Spring,Ugadi,Stable
2776,2025-07-01,Refrigerator,Fashion,West,130,220090,259815,10988,11248,282051,0,61961,Loss,21.97,High Logistics,34,Male,Winter,Diwali,High Demand
2777,2025-02-03,Jeans,Accessories,East,88,262064,272214,16771,6613,295598,0,33534,Loss,11.34,Low Sales,41,Male,Monsoon,None,High Demand
2778,2025-05-27,Umbrella,Food,West,129,465948,510936,7463,13828,532227,0,66279,Loss,12.45,High Logistics,24,Male,Spring,None,Low Demand
2779,2025-06-14,Smartphone,Fashion,East,132,500148,489643,11400,9995,511038,0,10890,Loss,2.13,High Cost,46,Female,Spring,Ugadi,High Demand
2780,2025-04-21,Mobile,Fashion,South,39,123006,147654,7573,14139,169366,0,46360,Loss,27.37,Low Sales,23,Male,Spring,Ugadi,Trending
2781,2025-01-28,Raincoat,Food,East,181,448699,422760,17556,8896,449212,0,513,Loss,0.11,High Cost,21,Male,Summer,Valentine,Low Demand
2782,2025-01-03,Laptop,Fashion,North,163,780933,735055,19323,11528,765906,15027,0,Profit,0,None,28,Male,Spring,None,Seasonal Spike
2783,2025-01-22,Sweets,Electronics,West,148,720612,768211,10348,8696,787255,0,66643,Loss,8.47,Low Sales,46,Female,Monsoon,Diwali,Stable
2784,2025-03-20,Saree,Fashion,East,61,79239,101893,15816,11264,128973,0,49734,Loss,38.56,Off Season,23,Female,Summer,Diwali,Trending
2785,2025-07-12,Raincoat,Electronics,East,28,71876,95537,12268,8234,116039,0,44163,Loss,38.06,High Cost,49,Female,Spring,Holi,Low Demand
2786,2025-06-30,Mobile,Food,East,20,73680,75955,13908,8090,97953,0,24273,Loss,24.78,Low Sales,42,Female,Summer,Diwali,Trending
2787,2025-05-03,Refrigerator,Electronics,South,94,443868,463793,13886,7988,485667,0,41799,Loss,8.61,Off Season,44,Male,Summer,None,Stable
2788,2025-05-03,Cooler,Accessories,West,185,704480,654819,13158,14083,682060,22420,0,Profit,0,None,33,Female,Winter,Valentine,Low Demand
2789,2025-02-04,Sweets,Electronics,South,74,271802,300606,18794,6393,325793,0,53991,Loss,16.57,High Logistics,23,Male,Winter,Holi,Trending
2790,2025-07-07,Jeans,Gift,South,84,114912,77450,8897,8999,95346,19566,0,Profit,0,None,49,Female,Spring,Ugadi,Trending
2791,2025-04-19,Watch,Electronics,South,134,655930,646611,10068,14151,670830,0,14900,Loss,2.22,Off Season,30,Male,Monsoon,None,Trending
2792,2025-06-26,T-Shirt,Food,North,150,545850,574549,9789,5655,589993,0,44143,Loss,7.48,Low Sales,41,Male,Summer,Diwali,High Demand
2793,2025-03-29,Refrigerator,Accessories,East,26,46826,40417,12089,8474,60980,0,14154,Loss,23.21,Low Sales,20,Female,Winter,Ugadi,Stable
2794,2025-01-30,Umbrella,Accessories,East,54,77220,61834,10703,10508,83045,0,5825,Loss,7.01,Off Season,45,Female,Winter,None,Low Demand
2795,2025-06-01,AC,Accessories,South,45,223065,242900,7339,13564,263803,0,40738,Loss,15.44,High Logistics,40,Female,Summer,Ugadi,Seasonal Spike
2796,2025-05-23,T-Shirt,Fashion,North,199,890724,934088,16777,7736,958601,0,67877,Loss,7.08,Low Sales,43,Female,Spring,Valentine,Low Demand
2797,2025-03-26,Watch,Electronics,North,144,687168,689539,18687,13084,721310,0,34142,Loss,4.73,High Logistics,46,Female,Monsoon,Holi,Seasonal Spike
2798,2025-03-20,Sweets,Food,West,74,314722,306176,6395,11751,324322,0,9600,Loss,2.96,High Logistics,43,Female,Summer,Diwali,Low Demand
2799,2025-03-20,Jeans,Accessories,North,67,278452,310264,6713,9353,326330,0,47878,Loss,14.67,High Cost,33,Female,Spring,Diwali,Stable
2800,2025-07-12,Raincoat,Fashion,North,67,85894,106611,17360,14129,138100,0,52206,Loss,37.8,High Logistics,20,Female,Summer,Valentine,Seasonal Spike
2801,2025-02-26,Sweets,Food,East,180,725400,708012,17941,13161,739114,0,13714,Loss,1.86,High Logistics,25,Male,Monsoon,Holi,High Demand
2802,2025-04-06,Watch,Accessories,West,177,491352,488448,16094,8606,513148,0,21796,Loss,4.25,Off Season,44,Male,Spring,Ugadi,Stable
2803,2025-04-19,Laptop,Electronics,North,137,175223,172676,17718,11599,201993,0,26770,Loss,13.25,Off Season,50,Male,Spring,Ugadi,Stable
2804,2025-06-26,Backpack,Fashion,South,64,256960,207603,8996,13646,230245,26715,0,Profit,0,None,21,Male,Summer,None,Trending
2805,2025-01-09,Watch,Accessories,South,67,86162,85299,9185,12612,107096,0,20934,Loss,19.55,Off Season,48,Male,Summer,None,High Demand
2806,2025-07-16,Refrigerator,Electronics,West,124,267344,219568,5126,8399,233093,34251,0,Profit,0,None,28,Male,Spring,Valentine,Low Demand
2807,2025-05-19,Backpack,Gift,East,45,106515,87092,16330,11786,115208,0,8693,Loss,7.55,Low Sales,22,Female,Summer,Holi,Seasonal Spike
2808,2025-06-13,Refrigerator,Electronics,North,130,319930,305348,14215,7752,327315,0,7385,Loss,2.26,High Cost,42,Male,Monsoon,Holi,Trending
2809,2025-06-17,Fan,Gift,North,168,295512,299650,15497,5840,320987,0,25475,Loss,7.94,High Logistics,46,Male,Winter,None,Trending
2810,2025-04-28,Gift Hampers,Gift,North,56,91112,120252,19702,13670,153624,0,62512,Loss,40.69,Off Season,49,Female,Summer,Holi,Stable
2811,2025-01-13,Cooler,Fashion,East,185,658230,626955,14560,11615,653130,5100,0,Profit,0,None,25,Male,Winter,Holi,Seasonal Spike
2812,2025-05-04,Backpack,Gift,South,143,280709,240339,5738,5046,251123,29586,0,Profit,0,None,46,Male,Winter,None,Stable
2813,2025-03-30,AC,Gift,East,134,424244,412579,9876,11290,433745,0,9501,Loss,2.19,Off Season,49,Female,Monsoon,Valentine,Low Demand
2814,2025-02-21,Sweets,Accessories,North,28,118216,157367,18280,14980,190627,0,72411,Loss,37.99,High Cost,34,Male,Monsoon,Holi,Stable
2815,2025-03-01,Jeans,Accessories,South,57,124659,170396,7909,9193,187498,0,62839,Loss,33.51,Off Season,29,Female,Spring,Valentine,Trending
2816,2025-03-19,Watch,Electronics,West,185,824545,864768,7137,14728,886633,0,62088,Loss,7.0,High Logistics,33,Female,Summer,Valentine,Stable
2817,2025-03-26,Sweets,Fashion,North,41,56908,21786,6210,5797,33793,23115,0,Profit,0,None,33,Male,Spring,Valentine,High Demand
2818,2025-05-26,Smartphone,Food,North,58,186992,169902,15463,5022,190387,0,3395,Loss,1.78,Off Season,37,Female,Monsoon,Diwali,Low Demand
2819,2025-04-25,TV,Accessories,East,103,262444,261464,17730,9325,288519,0,26075,Loss,9.04,High Cost,36,Male,Spring,Diwali,Low Demand
2820,2025-03-18,Cooler,Accessories,West,45,165150,205985,12292,14252,232529,0,67379,Loss,28.98,High Logistics,42,Female,Summer,Ugadi,High Demand
2821,2025-01-29,Refrigerator,Food,North,94,367352,363707,19975,13734,397416,0,30064,Loss,7.56,High Logistics,26,Male,Summer,Ugadi,Stable
2822,2025-01-31,Refrigerator,Electronics,South,128,320640,362154,17101,8357,387612,0,66972,Loss,17.28,Off Season,35,Male,Winter,None,Seasonal Spike
2823,2025-02-01,Sweets,Accessories,West,121,365904,372755,10995,5938,389688,0,23784,Loss,6.1,Off Season,35,Female,Spring,Diwali,Stable
2824,2025-04-05,Jeans,Food,South,184,402776,372530,17180,6273,395983,6793,0,Profit,0,None,36,Male,Summer,None,Trending
2825,2025-01-10,Jeans,Electronics,West,69,331614,290873,17199,6200,314272,17342,0,Profit,0,None,18,Female,Monsoon,Holi,High Demand
2826,2025-03-05,Headphones,Gift,North,163,745562,739409,19843,5940,765192,0,19630,Loss,2.57,High Cost,23,Male,Spring,Ugadi,Low Demand
2827,2025-04-25,Refrigerator,Fashion,North,191,423256,414037,13998,7495,435530,0,12274,Loss,2.82,High Logistics,26,Female,Winter,Holi,Stable
2828,2025-05-11,AC,Food,West,143,467038,456844,16443,10131,483418,0,16380,Loss,3.39,Off Season,39,Female,Monsoon,Ugadi,Stable
2829,2025-02-21,Backpack,Electronics,South,75,312075,311730,5784,7727,325241,0,13166,Loss,4.05,Low Sales,40,Female,Monsoon,Valentine,Seasonal Spike
2830,2025-03-29,Raincoat,Electronics,South,158,599768,557906,7846,10769,576521,23247,0,Profit,0,None,50,Male,Winter,Diwali,Stable
2831,2025-07-11,Backpack,Food,East,114,375288,338514,15036,14850,368400,6888,0,Profit,0,None,19,Female,Summer,Holi,Stable
2832,2025-05-26,Gift Hampers,Fashion,West,68,281996,329231,16882,11761,357874,0,75878,Loss,21.2,Low Sales,30,Male,Spring,Valentine,Low Demand
2833,2025-06-16,Watch,Food,East,101,188870,236401,18616,11307,266324,0,77454,Loss,29.08,Low Sales,30,Female,Winter,Holi,High Demand
2834,2025-01-15,T-Shirt,Fashion,East,119,409122,444485,11319,13445,469249,0,60127,Loss,12.81,Low Sales,27,Male,Spring,Valentine,Stable
2835,2025-03-12,Gift Hampers,Accessories,East,143,196196,243408,11443,6809,261660,0,65464,Loss,25.02,High Logistics,49,Male,Spring,Holi,Stable
2836,2025-07-12,Headphones,Food,East,30,76230,94542,14178,9254,117974,0,41744,Loss,35.38,High Logistics,34,Female,Winter,Valentine,Low Demand
2837,2025-07-05,Mobile,Electronics,East,96,436608,469311,12514,10942,492767,0,56159,Loss,11.4,High Logistics,48,Female,Winter,Holi,Trending
2838,2025-03-08,Smartphone,Electronics,North,142,267670,271116,10390,8461,289967,0,22297,Loss,7.69,High Cost,24,Male,Winter,Ugadi,Low Demand
2839,2025-02-18,Laptop,Gift,East,125,595250,577481,7101,6141,590723,4527,0,Profit,0,None,32,Male,Monsoon,None,Low Demand
2840,2025-04-26,Refrigerator,Food,South,105,215880,246752,11265,13844,271861,0,55981,Loss,20.59,High Cost,35,Male,Summer,Valentine,Seasonal Spike
2841,2025-06-28,Smartphone,Gift,South,155,398195,367225,9286,11531,388042,10153,0,Profit,0,None,37,Female,Winter,Holi,Low Demand
2842,2025-05-02,AC,Accessories,South,44,92312,109828,15625,13509,138962,0,46650,Loss,33.57,Low Sales,36,Female,Spring,Holi,Trending
2843,2025-01-16,Umbrella,Electronics,South,114,135318,145757,9196,6389,161342,0,26024,Loss,16.13,Low Sales,21,Male,Winter,Valentine,Trending
2844,2025-02-08,Gift Hampers,Gift,West,99,240570,250071,5246,8266,263583,0,23013,Loss,8.73,High Logistics,20,Male,Winter,None,High Demand
2845,2025-02-16,TV,Gift,East,132,357324,353741,8449,12837,375027,0,17703,Loss,4.72,High Logistics,26,Male,Monsoon,None,High Demand
2846,2025-02-04,Gift Hampers,Accessories,North,148,473304,449816,17890,11283,478989,0,5685,Loss,1.19,High Logistics,22,Male,Monsoon,None,Trending
2847,2025-06-19,Shoes,Electronics,East,188,855964,887023,5107,5187,897317,0,41353,Loss,4.61,High Cost,24,Female,Summer,Ugadi,Trending
2848,2025-02-03,AC,Gift,West,135,599130,629868,16246,6784,652898,0,53768,Loss,8.24,High Cost,48,Male,Winter,Holi,Trending
2849,2025-04-21,Sweets,Electronics,North,62,222766,182706,16057,12666,211429,11337,0,Profit,0,None,25,Female,Monsoon,Ugadi,Stable
2850,2025-01-04,AC,Fashion,East,88,191664,162169,19371,13119,194659,0,2995,Loss,1.54,Off Season,19,Female,Summer,Holi,Low Demand
2851,2025-03-21,Raincoat,Electronics,South,192,427008,451982,6954,13434,472370,0,45362,Loss,9.6,High Logistics,21,Male,Winter,Valentine,High Demand
2852,2025-04-11,Smartphone,Accessories,West,87,217152,176042,8635,14122,198799,18353,0,Profit,0,None,46,Male,Spring,Valentine,High Demand
2853,2025-07-06,Saree,Electronics,East,71,186162,232649,18388,12610,263647,0,77485,Loss,29.39,High Cost,22,Female,Monsoon,None,Seasonal Spike
2854,2025-02-04,Shoes,Fashion,East,124,300576,294285,5780,6512,306577,0,6001,Loss,1.96,High Logistics,45,Female,Monsoon,Diwali,Trending
2855,2025-02-15,Raincoat,Accessories,North,118,563096,519901,16604,5275,541780,21316,0,Profit,0,None,24,Male,Monsoon,None,High Demand
2856,2025-02-26,Backpack,Accessories,North,37,52873,87942,13791,10910,112643,0,59770,Loss,53.06,Off Season,31,Male,Summer,None,Stable
2857,2025-06-25,TV,Electronics,West,110,545380,565628,10230,13046,588904,0,43524,Loss,7.39,Off Season,24,Female,Spring,Holi,High Demand
2858,2025-02-02,TV,Fashion,South,122,487146,509826,6610,9652,526088,0,38942,Loss,7.4,Low Sales,47,Female,Spring,Ugadi,High Demand
2859,2025-06-06,Smartphone,Gift,West,110,516560,492448,12242,8716,513406,3154,0,Profit,0,None,36,Female,Summer,Valentine,Trending
2860,2025-03-13,Saree,Gift,East,122,235216,236379,5185,13341,254905,0,19689,Loss,7.72,High Cost,29,Female,Monsoon,Valentine,Stable
2861,2025-06-19,Jeans,Accessories,North,22,72556,84421,14500,6716,105637,0,33081,Loss,31.32,High Logistics,36,Male,Monsoon,Ugadi,Stable
2862,2025-06-15,Umbrella,Food,North,188,524708,548158,12607,8216,568981,0,44273,Loss,7.78,High Cost,44,Male,Winter,Holi,Low Demand
2863,2025-06-22,TV,Electronics,East,157,709169,673668,12012,11300,696980,12189,0,Profit,0,None,18,Male,Spring,Valentine,Low Demand
2864,2025-04-27,Shoes,Electronics,South,109,233478,213180,17640,5439,236259,0,2781,Loss,1.18,High Logistics,38,Female,Summer,Valentine,Trending
2865,2025-01-28,Raincoat,Gift,North,126,514206,544813,12000,13694,570507,0,56301,Loss,9.87,High Cost,34,Female,Winter,Valentine,Stable
2866,2025-01-22,Fan,Electronics,East,126,470610,507100,7062,5857,520019,0,49409,Loss,9.5,Low Sales,19,Female,Winter,Valentine,Seasonal Spike
2867,2025-05-12,Smartphone,Electronics,West,65,177840,154234,9738,9129,173101,4739,0,Profit,0,None,36,Female,Monsoon,Valentine,Low Demand
2868,2025-06-29,Watch,Gift,West,67,321198,295319,13425,12637,321381,0,183,Loss,0.06,Low Sales,25,Female,Monsoon,Holi,Stable
2869,2025-05-24,AC,Electronics,South,112,374752,336702,7190,9501,353393,21359,0,Profit,0,None,26,Female,Spring,None,Low Demand
2870,2025-02-12,Jeans,Food,West,64,276288,252011,15689,6453,274153,2135,0,Profit,0,None,50,Male,Spring,Valentine,Trending
2871,2025-01-09,Headphones,Gift,West,189,494046,478718,17388,7730,503836,0,9790,Loss,1.94,High Logistics,30,Female,Spring,Diwali,High Demand
2872,2025-05-15,Mobile,Electronics,West,50,123500,142073,13620,7900,163593,0,40093,Loss,24.51,High Cost,45,Female,Spring,Valentine,Low Demand
2873,2025-03-08,TV,Gift,South,173,542701,568611,15565,6872,591048,0,48347,Loss,8.18,Low Sales,50,Female,Monsoon,Diwali,Trending
2874,2025-05-13,Umbrella,Fashion,North,130,276380,299664,9253,14118,323035,0,46655,Loss,14.44,High Cost,25,Male,Summer,Diwali,Seasonal Spike
2875,2025-03-19,TV,Fashion,South,136,198968,236929,19945,7475,264349,0,65381,Loss,24.73,High Logistics,42,Female,Summer,Ugadi,Trending
2876,2025-06-28,TV,Gift,West,47,122764,145849,7878,6831,160558,0,37794,Loss,23.54,Off Season,38,Female,Winter,Holi,Low Demand
2877,2025-07-09,Umbrella,Food,West,195,467415,459744,8441,5004,473189,0,5774,Loss,1.22,High Cost,40,Male,Winter,Ugadi,High Demand
2878,2025-06-09,TV,Accessories,South,21,60669,106632,10702,6389,123723,0,63054,Loss,50.96,Low Sales,41,Male,Spring,Valentine,High Demand
2879,2025-04-20,Raincoat,Food,South,190,582540,594704,6515,5443,606662,0,24122,Loss,3.98,Off Season,39,Male,Summer,None,Trending
2880,2025-01-16,Jeans,Gift,South,149,634144,594693,9087,6522,610302,23842,0,Profit,0,None,45,Female,Spring,Diwali,Trending
2881,2025-06-05,Raincoat,Food,North,65,211315,164445,6342,6813,177600,33715,0,Profit,0,None,49,Female,Monsoon,Ugadi,High Demand
2882,2025-06-20,Backpack,Accessories,South,173,486822,493076,6682,5743,505501,0,18679,Loss,3.7,High Cost,20,Male,Spring,Ugadi,Low Demand
2883,2025-05-28,Headphones,Electronics,North,102,414630,418434,7858,12699,438991,0,24361,Loss,5.55,High Logistics,32,Female,Summer,None,Low Demand
2884,2025-07-11,Laptop,Food,West,23,31418,-16534,8582,10431,2479,28939,0,Profit,0,None,39,Male,Winter,Diwali,Stable
2885,2025-05-01,Umbrella,Fashion,East,119,485520,466894,17718,6762,491374,0,5854,Loss,1.19,Low Sales,43,Female,Winter,Ugadi,High Demand
2886,2025-01-11,Headphones,Food,West,148,484996,518137,6482,8224,532843,0,47847,Loss,8.98,High Logistics,42,Female,Winter,Holi,Stable
2887,2025-06-11,Gift Hampers,Electronics,North,147,516264,538789,17146,6590,562525,0,46261,Loss,8.22,Off Season,19,Male,Spring,Valentine,Low Demand
2888,2025-07-06,Laptop,Gift,West,95,233035,218858,7484,13747,240089,0,7054,Loss,2.94,Low Sales,45,Male,Winter,Valentine,Stable
2889,2025-05-13,Fan,Accessories,North,74,364820,327283,19066,13172,359521,5299,0,Profit,0,None,21,Male,Summer,Holi,Stable
2890,2025-03-14,Backpack,Accessories,South,141,436677,392924,6515,6989,406428,30249,0,Profit,0,None,32,Female,Spring,Diwali,Trending
2891,2025-03-23,Jeans,Food,West,165,236445,200318,17945,13044,231307,5138,0,Profit,0,None,18,Female,Summer,None,Low Demand
2892,2025-06-27,T-Shirt,Electronics,South,75,239925,191440,10249,11371,213060,26865,0,Profit,0,None,33,Male,Winter,Valentine,High Demand
2893,2025-06-19,Headphones,Electronics,South,143,546117,551914,19217,14543,585674,0,39557,Loss,6.75,High Cost,45,Male,Summer,None,Trending
2894,2025-04-25,Laptop,Fashion,West,179,508360,537972,17162,7639,562773,0,54413,Loss,9.67,High Logistics,37,Female,Spring,None,Seasonal Spike
2895,2025-05-15,T-Shirt,Gift,South,143,361218,324532,13348,11576,349456,11762,0,Profit,0,None,22,Female,Winter,Valentine,High Demand
2896,2025-04-27,AC,Gift,South,178,468496,471521,11250,12059,494830,0,26334,Loss,5.32,High Cost,34,Female,Monsoon,Valentine,Stable
2897,2025-07-07,Refrigerator,Accessories,North,192,942144,928209,11285,12936,952430,0,10286,Loss,1.08,High Logistics,21,Female,Summer,Ugadi,Low Demand
2898,2025-05-16,Saree,Gift,South,199,425661,458348,8422,9510,476280,0,50619,Loss,10.63,High Cost,31,Male,Monsoon,Ugadi,High Demand
2899,2025-07-19,Raincoat,Food,North,153,574209,615339,6288,12752,634379,0,60170,Loss,9.48,Off Season,32,Male,Spring,Ugadi,High Demand
2900,2025-05-25,Sweets,Food,South,124,383408,407728,19334,9581,436643,0,53235,Loss,12.19,Off Season,46,Male,Summer,Valentine,Stable
2901,2025-07-05,Raincoat,Food,North,177,400020,358245,13165,9687,381097,18923,0,Profit,0,None,44,Male,Summer,Diwali,Trending
2902,2025-03-25,Shoes,Fashion,West,76,310688,300749,8828,14387,323964,0,13276,Loss,4.1,Off Season,43,Female,Winter,None,Seasonal Spike
2903,2025-01-20,Jeans,Electronics,West,157,560647,580094,14250,8571,602915,0,42268,Loss,7.01,Low Sales,18,Female,Spring,None,Low Demand
2904,2025-03-26,T-Shirt,Food,East,111,412476,386042,7817,6179,400038,12438,0,Profit,0,None,28,Male,Spring,None,Low Demand
2905,2025-07-18,T-Shirt,Accessories,West,152,201704,215943,10303,12184,238430,0,36726,Loss,15.4,High Logistics,30,Male,Summer,None,High Demand
2906,2025-06-24,Refrigerator,Food,West,167,348362,355830,12601,6849,375280,0,26918,Loss,7.17,Off Season,36,Male,Spring,Valentine,High Demand
2907,2025-05-01,Gift Hampers,Fashion,East,82,348664,394841,6555,7125,408521,0,59857,Loss,14.65,Off Season,46,Male,Monsoon,Ugadi,Low Demand
2908,2025-05-29,Watch,Gift,South,175,624050,649721,12585,10810,673116,0,49066,Loss,7.29,Off Season,50,Female,Spring,Diwali,High Demand
2909,2025-07-20,Cooler,Food,North,100,372100,340786,16113,10582,367481,4619,0,Profit,0,None,50,Male,Summer,Holi,Trending
2910,2025-04-24,TV,Accessories,East,135,273780,234134,12215,7542,253891,19889,0,Profit,0,None,50,Male,Winter,Ugadi,High Demand
2911,2025-06-09,Sweets,Accessories,East,115,250585,202400,14893,6015,223308,27277,0,Profit,0,None,23,Female,Spring,Ugadi,Seasonal Spike
2912,2025-03-18,Refrigerator,Gift,West,41,87781,95823,18970,7538,122331,0,34550,Loss,28.24,Off Season,29,Female,Monsoon,Holi,Low Demand
2913,2025-04-16,Headphones,Gift,North,74,75998,101434,5182,10601,117217,0,41219,Loss,35.16,High Logistics,37,Female,Monsoon,Holi,Low Demand
2914,2025-03-28,Umbrella,Electronics,West,26,72384,49976,15386,11453,76815,0,4431,Loss,5.77,High Logistics,28,Male,Winter,Holi,Trending
2915,2025-07-20,Backpack,Fashion,West,127,473329,446908,17696,5388,469992,3337,0,Profit,0,None,40,Male,Summer,Valentine,Low Demand
2916,2025-05-04,AC,Fashion,West,95,348270,331143,12498,14668,358309,0,10039,Loss,2.8,Off Season,30,Female,Summer,Holi,High Demand
2917,2025-02-05,Laptop,Food,North,69,81213,62525,10844,10879,84248,0,3035,Loss,3.6,High Cost,50,Female,Summer,Holi,High Demand
